"V1" "V2" "V3"
"222" "DPond_97_6545" "Eukaryota" "Arthropoda"
"223" "DPond_97_6546" "Eukaryota" "Arthropoda"
"224" "DPond_97_6575" "Eukaryota" "Arthropoda"
"225" "DPond_97_6625" "Eukaryota" "Arthropoda"
"226" "DPond_97_6730" "Eukaryota" "Arthropoda"
"227" "DPond_97_6773" "Eukaryota" "Arthropoda"
"228" "DPond_97_6796" "Eukaryota" "Arthropoda"
"229" "DPond_97_6916" "Eukaryota" "Streptophyta"
"230" "DPond_97_6933" "Eukaryota" "Arthropoda"
"231" "DPond_97_6943" "Eukaryota" "Arthropoda"
"232" "DPond_97_6986" "Eukaryota" "Arthropoda"
"233" "DPond_97_6993" "Eukaryota" "Arthropoda"
"234" "DPond_97_7004" "Eukaryota" "Arthropoda"
"235" "DPond_97_7025" "Eukaryota" "Arthropoda"
"236" "DPond_97_7056" "Eukaryota" "Arthropoda"
"237" "DPond_97_7076" "Eukaryota" "Arthropoda"
"238" "DPond_97_7095" "Eukaryota" "Arthropoda"
"239" "DPond_97_7150" "Eukaryota" "Chordata"
"240" "DPond_97_7166" "Eukaryota" "Chordata"
"241" "DPond_97_7173" "Eukaryota" "Arthropoda"
"242" "DPond_97_7187" "Eukaryota" "Arthropoda"
"243" "DPond_97_7236" "Eukaryota" "Arthropoda"
"244" "DPond_97_7237" "Eukaryota" "Arthropoda"
"245" "DPond_97_7277" "Eukaryota" "Arthropoda"
"246" "DPond_97_7288" "Eukaryota" "Arthropoda"
"247" "DPond_97_7317" "Eukaryota" "Chordata"
"248" "DPond_97_7334" "Eukaryota" "Chordata"
"249" "DPond_97_7352" "Eukaryota" "Arthropoda"
"250" "DPond_97_7362" "Eukaryota" "Mollusca"
"251" "DPond_97_7368" "Eukaryota" "Arthropoda"
"252" "DPond_97_7370" "Eukaryota" "Arthropoda"
"253" "DPond_97_7401" "Eukaryota" "Arthropoda"
"254" "DPond_97_7405" "Eukaryota" "Arthropoda"
"255" "DPond_97_7406" "Eukaryota" "Arthropoda"
"256" "DPond_97_7418" "Eukaryota" "Arthropoda"
"257" "DPond_97_7442" "Eukaryota" "Chordata"
"258" "DPond_97_7457" "Eukaryota" "Chordata"
"259" "DPond_97_7460" "Eukaryota" "Arthropoda"
"260" "DPond_97_7482" "Eukaryota" "Arthropoda"
"261" "DPond_97_7494" "Eukaryota" "Mollusca"
"262" "DPond_97_7501" "Eukaryota" "Arthropoda"
"263" "DPond_97_7523" "Eukaryota" "Nematoda"
"264" "DPond_97_7546" "Eukaryota" "Chordata"
"265" "DPond_97_7569" "Eukaryota" "Ascomycota"
