"V1" "V2" "V3"
"288" "DendroDenovo_97_2256" "Eukaryota" "Arthropoda"
"289" "DendroDenovo_97_2257" "Eukaryota" "Arthropoda"
"290" "DendroDenovo_97_2260" "Eukaryota" "Arthropoda"
"291" "DendroDenovo_97_2261" "Eukaryota" "Arthropoda"
"292" "DendroDenovo_97_2264" "Eukaryota" "Arthropoda"
"293" "DendroDenovo_97_2282" "Eukaryota" "Arthropoda"
"294" "DendroDenovo_97_2308" "Eukaryota" "Arthropoda"
"295" "DendroDenovo_97_2310" "Eukaryota" "Arthropoda"
"296" "DendroDenovo_97_2314" "Eukaryota" "Arthropoda"
"297" "DendroDenovo_97_2320" "Eukaryota" "Arthropoda"
"298" "DendroDenovo_97_2325" "Eukaryota" "Arthropoda"
"299" "DendroDenovo_97_2327" "Eukaryota" "Arthropoda"
"300" "DendroDenovo_97_2339" "Eukaryota" "Arthropoda"
"301" "DendroDenovo_97_2355" "Eukaryota" "Arthropoda"
"302" "DendroDenovo_97_2357" "Eukaryota" "Arthropoda"
"303" "DendroDenovo_97_2360" "Eukaryota" "Arthropoda"
"304" "DendroDenovo_97_2372" "Eukaryota" "Arthropoda"
"305" "DendroDenovo_97_2375" "Eukaryota" "Arthropoda"
"306" "DendroDenovo_97_2377" "Eukaryota" "Arthropoda"
"307" "DendroDenovo_97_2391" "Eukaryota" "Arthropoda"
"308" "DendroDenovo_97_2393" "Eukaryota" "Arthropoda"
"309" "DendroDenovo_97_2404" "Eukaryota" "Arthropoda"
"310" "DendroDenovo_97_2405" "Eukaryota" "Arthropoda"
"311" "DendroDenovo_97_2416" "Eukaryota" "Arthropoda"
"312" "DendroDenovo_97_2420" "Eukaryota" "Arthropoda"
"313" "DendroDenovo_97_2424" "Bacteria" "Bacteroidetes"
"314" "DendroDenovo_97_2425" "Eukaryota" "Arthropoda"
"315" "DendroDenovo_97_2446" "Eukaryota" "Arthropoda"
"316" "DendroDenovo_97_2449" "Eukaryota" "Arthropoda"
"317" "DendroDenovo_97_2472" "Eukaryota" "Arthropoda"
"318" "DendroDenovo_97_2481" "Eukaryota" "Arthropoda"
"319" "DendroDenovo_97_2488" "Eukaryota" "Arthropoda"
"320" "DendroDenovo_97_2491" "Eukaryota" "Arthropoda"
"321" "DendroDenovo_97_2492" "Eukaryota" "Arthropoda"
"322" "DendroDenovo_97_2496" "Eukaryota" "Arthropoda"
"323" "DendroDenovo_97_2498" "Eukaryota" "Arthropoda"
"324" "DendroDenovo_97_2501" "Eukaryota" "Arthropoda"
"325" "DendroDenovo_97_2502" "Eukaryota" "Arthropoda"
"326" "DendroDenovo_97_2509" "Eukaryota" "Arthropoda"
"327" "DendroDenovo_97_2526" "Eukaryota" "Arthropoda"
"328" "DendroDenovo_97_2538" "Eukaryota" "Arthropoda"
"329" "DendroDenovo_97_2539" "Eukaryota" "Arthropoda"
"330" "DendroDenovo_97_2555" "Eukaryota" "Streptophyta"
"331" "DendroDenovo_97_2585" "Eukaryota" "Arthropoda"
"332" "DendroDenovo_97_2608" "Eukaryota" "Arthropoda"
"333" "DendroDenovo_97_2610" "Eukaryota" "Arthropoda"
"334" "DendroDenovo_97_2626" "Eukaryota" "Arthropoda"
"335" "DendroDenovo_97_2629" "Eukaryota" "Arthropoda"
"336" "DendroDenovo_97_2639" "Eukaryota" "Arthropoda"
"337" "DendroDenovo_97_2642" "Eukaryota" "Arthropoda"
"338" "DendroDenovo_97_2652" "Eukaryota" "Arthropoda"
"339" "DendroDenovo_97_2659" "Eukaryota" "Arthropoda"
"340" "DendroDenovo_97_2660" "Eukaryota" "Arthropoda"
"341" "DendroDenovo_97_2670" "Eukaryota" "Arthropoda"
"342" "DendroDenovo_97_2677" "Eukaryota" "Arthropoda"
"343" "DendroDenovo_97_2684" "Eukaryota" "Arthropoda"
"344" "DendroDenovo_97_2687" "Eukaryota" "Arthropoda"
"345" "DendroDenovo_97_2689" "Eukaryota" "Arthropoda"
"346" "DendroDenovo_97_2692" "Eukaryota" "Arthropoda"
"347" "DendroDenovo_97_2695" "Eukaryota" "Arthropoda"
"348" "DendroDenovo_97_2697" "Eukaryota" "Arthropoda"
"349" "DendroDenovo_97_2698" "Eukaryota" "Ascomycota"
"350" "DendroDenovo_97_2705" "Eukaryota" "Arthropoda"
"351" "DendroDenovo_97_2708" "Eukaryota" "Platyhelminthes"
"352" "DendroDenovo_97_2713" "Eukaryota" "Chordata"
"353" "DendroDenovo_97_2722" "Eukaryota" "Arthropoda"
"354" "DendroDenovo_97_2729" "Eukaryota" "Arthropoda"
"355" "DendroDenovo_97_2730" "Eukaryota" "Arthropoda"
"356" "DendroDenovo_97_2732" "Eukaryota" "Arthropoda"
"357" "DendroDenovo_97_2738" "Eukaryota" "Arthropoda"
"358" "DendroDenovo_97_2742" "Eukaryota" "Arthropoda"
"359" "DendroDenovo_97_2744" "Eukaryota" "Arthropoda"
"360" "DendroDenovo_97_2747" "Eukaryota" "Arthropoda"
"361" "DendroDenovo_97_2756" "Eukaryota" "Arthropoda"
"362" "DendroDenovo_97_2761" "Eukaryota" "Arthropoda"
"363" "DendroDenovo_97_2765" "Eukaryota" "Arthropoda"
"364" "DendroDenovo_97_2769" "Eukaryota" "Arthropoda"
"365" "DendroDenovo_97_2773" "Eukaryota" "Arthropoda"
"366" "DendroDenovo_97_2782" "Eukaryota" "Arthropoda"
"367" "DendroDenovo_97_2784" "Eukaryota" "Arthropoda"
"368" "DendroDenovo_97_2805" "Eukaryota" "Arthropoda"
"369" "DendroDenovo_97_2806" "Eukaryota" "Arthropoda"
"370" "DendroDenovo_97_2814" "Eukaryota" "Arthropoda"
"371" "DendroDenovo_97_2818" "Eukaryota" "Arthropoda"
"372" "DendroDenovo_97_2833" "Eukaryota" "Arthropoda"
"373" "DendroDenovo_97_2854" "Eukaryota" "Chordata"
"374" "DendroDenovo_97_2859" "Eukaryota" "Arthropoda"
"375" "DendroDenovo_97_2868" "Eukaryota" "Arthropoda"
"376" "DendroDenovo_97_2873" "Eukaryota" "Arthropoda"
"377" "DendroDenovo_97_2885" "Eukaryota" "Arthropoda"
"378" "DendroDenovo_97_2889" "Eukaryota" "Arthropoda"
"379" "DendroDenovo_97_2890" "Eukaryota" "Arthropoda"
"380" "DendroDenovo_97_2896" "Eukaryota" "Arthropoda"
"381" "DendroDenovo_97_2903" "Eukaryota" "Arthropoda"
"382" "DendroDenovo_97_2905" "Eukaryota" "Arthropoda"
"383" "DendroDenovo_97_2909" "Eukaryota" "Arthropoda"
"384" "DendroDenovo_97_2917" "Eukaryota" "Arthropoda"
"385" "DendroDenovo_97_2920" "Eukaryota" "Arthropoda"
"386" "DendroDenovo_97_2921" "Eukaryota" "Streptophyta"
"387" "DendroDenovo_97_2930" "Eukaryota" "Arthropoda"
"388" "DendroDenovo_97_2943" "Eukaryota" "Arthropoda"
"389" "DendroDenovo_97_2965" "Eukaryota" "Arthropoda"
"390" "DendroDenovo_97_2972" "Eukaryota" "Arthropoda"
"391" "DendroDenovo_97_2982" "Eukaryota" "Nematoda"
"392" "DendroDenovo_97_2999" "Eukaryota" "Arthropoda"
"393" "DendroDenovo_97_3005" "Eukaryota" "Arthropoda"
"394" "DendroDenovo_97_3008" "Eukaryota" "Arthropoda"
"395" "DendroDenovo_97_3010" "Eukaryota" "Arthropoda"
"396" "DendroDenovo_97_3016" "Eukaryota" "Arthropoda"
"397" "DendroDenovo_97_3023" "Eukaryota" "Arthropoda"
"398" "DendroDenovo_97_3041" "Eukaryota" "Arthropoda"
"399" "DendroDenovo_97_3044" "Eukaryota" "Arthropoda"
"400" "DendroDenovo_97_3053" "Eukaryota" "Arthropoda"
"401" "DendroDenovo_97_3059" "Eukaryota" "Arthropoda"
"402" "DendroDenovo_97_3067" "Eukaryota" "Arthropoda"
"403" "DendroDenovo_97_3077" "Eukaryota" "Arthropoda"
"404" "DendroDenovo_97_3083" "Eukaryota" "Arthropoda"
"405" "DendroDenovo_97_3109" "Eukaryota" "Arthropoda"
"406" "DendroDenovo_97_3125" "Eukaryota" "Arthropoda"
